age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,is_recid,duration
69,F,Other,Greater than 45,Low,Male,0,-1.0,1,0,0.9844675925925926
34,F,African-American,25 - 45,Low,Male,0,-1.0,3,1,10.07738425925926
24,F,African-American,Less than 25,Low,Male,4,-1.0,4,1,1.085763888888889
44,M,Other,25 - 45,Low,Male,0,0.0,1,0,1.3184953703703703
41,F,Caucasian,25 - 45,Medium,Male,14,-1.0,6,1,6.298680555555555
43,F,Other,25 - 45,Low,Male,3,-1.0,4,0,0.9908564814814815
39,M,Caucasian,25 - 45,Low,Female,0,-1.0,1,0,2.953611111111111
27,F,Caucasian,25 - 45,Low,Male,0,-1.0,4,0,1.080451388888889
23,M,African-American,Less than 25,Medium,Male,3,0.0,6,1,4.17355324074074
37,M,Caucasian,25 - 45,Low,Female,0,0.0,1,0,0.9057407407407407
41,F,African-American,25 - 45,Low,Male,0,-1.0,4,0,0.5997916666666666
47,F,Caucasian,Greater than 45,Low,Female,1,-20.0,1,1,14.261828703703705
31,F,African-American,25 - 45,Low,Male,7,22.0,3,1,3.1155555555555554
37,M,Hispanic,25 - 45,Low,Male,0,0.0,1,0,0.24181712962962962
25,F,African-American,25 - 45,High,Male,3,-1.0,10,0,1.145324074074074
31,F,Caucasian,25 - 45,Medium,Male,6,-1.0,5,1,1.053263888888889
31,F,Caucasian,25 - 45,Low,Male,5,-1.0,3,1,1.1388773148148148
64,F,African-American,Greater than 45,Medium,Male,13,-1.0,6,1,1.1103472222222222
21,F,African-American,Less than 25,High,Male,1,-1.0,9,1,3.1102314814814815
27,M,Caucasian,25 - 45,Low,Male,0,0.0,2,1,0.2897337962962963
21,F,Caucasian,Less than 25,Low,Female,0,-2.0,4,0,1.1536111111111111
24,F,Hispanic,Less than 25,Low,Male,1,0.0,4,1,0.9953125
43,M,Caucasian,25 - 45,Low,Male,1,-1.0,1,0,1.2283333333333333
32,M,Other,25 - 45,Low,Male,0,-1.0,3,0,1.7884259259259259
27,F,African-American,25 - 45,Low,Male,8,-1.0,3,1,17.000833333333333
26,F,African-American,25 - 45,Medium,Male,5,-1.0,7,1,0.9481018518518518
33,F,African-American,25 - 45,High,Male,0,0.0,10,1,37.79100694444445
30,F,Caucasian,25 - 45,High,Male,9,0.0,9,1,44.211226851851855
32,F,African-American,25 - 45,High,Male,4,-1.0,8,1,1.0763078703703703
55,F,Caucasian,Greater than 45,Low,Male,0,-1.0,1,0,2.1613657407407407
49,F,Other,Greater than 45,Low,Male,7,-1.0,3,1,3.921759259259259
33,M,Caucasian,25 - 45,Medium,Female,4,-1.0,5,1,11.150787037037038
24,M,Caucasian,Less than 25,Low,Male,1,0.0,2,1,1.1265972222222222
34,F,African-American,25 - 45,High,Male,21,0.0,9,1,33.30111111111111
29,M,Caucasian,25 - 45,Low,Male,0,0.0,2,0,-0.2461574074074074
21,F,African-American,Less than 25,High,Female,2,-1.0,8,0,79.74574074074074
51,M,African-American,Greater than 45,Low,Male,2,-1.0,1,0,1.137048611111111
29,M,Caucasian,25 - 45,Low,Male,2,-1.0,2,1,0.7094907407407407
51,F,African-American,Greater than 45,Low,Female,7,-1.0,2,0,1.670613425925926
29,F,African-American,25 - 45,Medium,Male,0,0.0,7,1,0.1956365740740741
25,M,Caucasian,25 - 45,High,Male,9,-1.0,10,1,6.965127314814815
35,F,African-American,25 - 45,High,Male,13,-1.0,8,1,0.9044907407407408
49,M,Caucasian,Greater than 45,Low,Male,0,0.0,1,0,0.15869212962962964
29,F,African-American,25 - 45,Low,Male,0,0.0,4,0,0.1609722222222222
29,F,Caucasian,25 - 45,Low,Male,1,-24.0,2,1,0.10030092592592593
28,F,Other,25 - 45,Low,Female,0,-1.0,2,0,0.9307638888888888
31,F,African-American,25 - 45,Medium,Male,15,-1.0,5,1,135.97283564814813
24,F,African-American,Less than 25,Low,Male,2,-1.0,4,1,1.8727199074074075
30,M,Hispanic,25 - 45,Medium,Male,0,0.0,7,0,23.26761574074074
49,M,African-American,Greater than 45,Low,Male,4,-1.0,1,0,0.9032407407407408
53,F,Caucasian,Greater than 45,Medium,Male,8,-13.0,5,0,13.062789351851851
35,F,African-American,25 - 45,Low,Male,5,-1.0,3,0,0.9722453703703704
27,F,African-American,25 - 45,High,Male,15,-1.0,10,1,1.1531828703703704
38,M,Caucasian,25 - 45,Low,Male,4,-1.0,2,1,1.9627893518518518
22,F,African-American,Less than 25,Low,Male,1,-1.0,4,1,1.038275462962963
29,F,African-American,25 - 45,High,Male,4,-1.0,9,1,18.960185185185185
62,M,Hispanic,Greater than 45,Low,Male,0,0.0,1,0,-0.11922453703703703
27,F,African-American,25 - 45,Medium,Male,6,0.0,6,1,30.116261574074073
33,M,Other,25 - 45,Low,Male,0,-1.0,1,0,1.3664583333333333
56,M,African-American,Greater than 45,Low,Female,0,0.0,1,0,3.1996990740740743
45,F,Hispanic,Greater than 45,Low,Male,6,-1.0,1,1,241.96453703703705
22,F,Hispanic,Less than 25,Low,Male,1,-1.0,4,0,1.0569444444444445
39,M,African-American,25 - 45,Low,Male,1,-1.0,4,0,4.900740740740741
29,F,African-American,25 - 45,Medium,Male,5,0.0,6,1,1.1298032407407408
27,F,Caucasian,25 - 45,Medium,Male,1,-1.0,6,1,14.250648148148148
40,F,African-American,25 - 45,Low,Male,2,-15.0,2,0,3.188298611111111
22,M,African-American,Less than 25,Low,Male,1,0.0,3,1,16.831238425925925
22,F,Caucasian,Less than 25,High,Male,0,-1.0,8,0,57.92224537037037
26,F,African-American,25 - 45,Low,Female,1,-1.0,4,1,2.004224537037037
32,F,African-American,25 - 45,Low,Male,0,-1.0,2,0,1.1494328703703705
41,M,African-American,25 - 45,Low,Male,1,-1.0,2,0,1.6737152777777777
30,M,African-American,25 - 45,High,Male,8,-1.0,10,1,1.2308912037037036
50,F,Other,Greater than 45,Low,Male,0,-1.0,1,1,0.8238657407407407
